fiscal_year,cip_number,cip_year_id,project_title,location,project_desc,FY,amt_type,operating_impact_amt,appropriated_amt,agency_amt,planning_amt,bof_amt,boe_amt,budget_amt,total_amt,source,source_code,source_name,bureau_program,bureau_name,contract_number,has_prior_appropriation,has_prior_request,request_year_min,request_year_max,request_year_list,n_request_year,request_year_range,budget_year_min,budget_year_max,n_budget_year
2023,117-029,117-029_2023,Citywide Cyber Security Systems Upgrade,Baltimore City,"As the City continues to expand its remote work capabilities, the risk of disclosing sensitive information grows. This project will reduce the risk of disclosing sensitive information and improve the City's security posture.",FY2023,Total,0,2400000,400000,400000,400000,400000,400000,2800000,NA,NA,NA,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2019,2023,,5,5,2019,2023,5
2023,117-048,117-048_2023,"Replace Unmanaged Network Hubs, Cables and Swithches",Baltimore City,"This project will remove and replace unmanaged network hubs, cables and switches.  As BCIT continues to modernize the City's IT systems, the agency has discovered a backlog of upgrades. Failure to address can lead systemic network performance issues.",FY2023,Source,0,0,500000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2021,2023,,3,3,2021,2023,3
2023,117-048,117-048_2023,"Replace Unmanaged Network Hubs, Cables and Swithches",Baltimore City,"This project will remove and replace unmanaged network hubs, cables and switches.  As BCIT continues to modernize the City's IT systems, the agency has discovered a backlog of upgrades. Failure to address can lead systemic network performance issues.",FY2023,Source,0,0,0,500000,500000,500000,500000,500000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2021,2023,,3,3,2021,2023,3
2023,117-048,117-048_2023,"Replace Unmanaged Network Hubs, Cables and Swithches",Baltimore City,"This project will remove and replace unmanaged network hubs, cables and switches.  As BCIT continues to modernize the City's IT systems, the agency has discovered a backlog of upgrades. Failure to address can lead systemic network performance issues.",FY2023,Total,0,0,500000,500000,500000,500000,500000,500000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2021,2023,,3,3,2021,2023,3
2023,117-055,117-055_2023,Upgrade Speed and Reliability of Public Safety Communications,Baltimore City,"Migrate existing T1 speed circuits to City owned fiber circuits for better and more cost effective radio service and coverage for 911 communications, police and fire emergency dispatch services.",FY2023,Source,0,0,316000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-055,117-055_2023,Upgrade Speed and Reliability of Public Safety Communications,Baltimore City,"Migrate existing T1 speed circuits to City owned fiber circuits for better and more cost effective radio service and coverage for 911 communications, police and fire emergency dispatch services.",FY2023,Source,0,0,0,316000,316000,316000,316000,316000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-055,117-055_2023,Upgrade Speed and Reliability of Public Safety Communications,Baltimore City,"Migrate existing T1 speed circuits to City owned fiber circuits for better and more cost effective radio service and coverage for 911 communications, police and fire emergency dispatch services.",FY2023,Total,0,0,316000,316000,316000,316000,316000,316000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-059,117-059_2023,Upgrade Application Integration and Infrastructure,Baltimore City,"Upgrade integration integrity and security of data transfers between enterprise applications. Examples include: Salesforce, CHIP, and City Works, Workday, and Unifier.",FY2023,Source,0,0,250000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2024,,3,3,2022,2024,3
2023,117-059,117-059_2023,Upgrade Application Integration and Infrastructure,Baltimore City,"Upgrade integration integrity and security of data transfers between enterprise applications. Examples include: Salesforce, CHIP, and City Works, Workday, and Unifier.",FY2023,Source,0,0,0,250000,250000,250000,250000,250000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2024,,3,3,2022,2024,3
2023,117-059,117-059_2023,Upgrade Application Integration and Infrastructure,Baltimore City,"Upgrade integration integrity and security of data transfers between enterprise applications. Examples include: Salesforce, CHIP, and City Works, Workday, and Unifier.",FY2023,Total,0,0,250000,250000,250000,250000,250000,250000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2024,,3,3,2022,2024,3
2023,117-060,117-060_2023,Upgrade Baltimore City's Resident Facing Web Assets and Applications,Baltimore City,"Upgrade Baltimore City's resident-facing web assets in order to improve the user experience of businesses, residents and others who interact with the City electronically.",FY2023,Source,0,0,500000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-060,117-060_2023,Upgrade Baltimore City's Resident Facing Web Assets and Applications,Baltimore City,"Upgrade Baltimore City's resident-facing web assets in order to improve the user experience of businesses, residents and others who interact with the City electronically.",FY2023,Source,0,0,0,500000,500000,500000,500000,500000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-060,117-060_2023,Upgrade Baltimore City's Resident Facing Web Assets and Applications,Baltimore City,"Upgrade Baltimore City's resident-facing web assets in order to improve the user experience of businesses, residents and others who interact with the City electronically.",FY2023,Total,0,0,500000,500000,500000,500000,500000,500000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-061,117-061_2023,Upgrade Mainframe Components to Modern and Flexible Computing Platform,Baltimore City,Replace the City’s mainframe applications to reduce the reliance on the outdated mainframe and reduce the technical risk associated with the mainframe.,FY2023,Source,0,0,500000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-061,117-061_2023,Upgrade Mainframe Components to Modern and Flexible Computing Platform,Baltimore City,Replace the City’s mainframe applications to reduce the reliance on the outdated mainframe and reduce the technical risk associated with the mainframe.,FY2023,Source,0,0,0,500000,500000,500000,500000,500000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-061,117-061_2023,Upgrade Mainframe Components to Modern and Flexible Computing Platform,Baltimore City,Replace the City’s mainframe applications to reduce the reliance on the outdated mainframe and reduce the technical risk associated with the mainframe.,FY2023,Total,0,0,500000,500000,500000,500000,500000,500000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2022,2023,,2,2,2022,2023,2
2023,117-067,117-067_2023,Upgrade Switch Request (100),Baltimore City,This project will replace the end-of-support network switches and establish a routine replacement schedule for this critical piece of network equipment that is used to connect City employees to the resources they need to perform daily operations.,FY2023,Source,0,0,450000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-067,117-067_2023,Upgrade Switch Request (100),Baltimore City,This project will replace the end-of-support network switches and establish a routine replacement schedule for this critical piece of network equipment that is used to connect City employees to the resources they need to perform daily operations.,FY2023,Source,0,0,0,450000,450000,450000,450000,450000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-067,117-067_2023,Upgrade Switch Request (100),Baltimore City,This project will replace the end-of-support network switches and establish a routine replacement schedule for this critical piece of network equipment that is used to connect City employees to the resources they need to perform daily operations.,FY2023,Total,0,0,450000,450000,450000,450000,450000,450000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-068,117-068_2023,Increase Storage and Back-up Storage Capacity,Baltimore City,We are currently at risk of depleting the available storage (10% available) in our current infrastructure. This project will increase the amount of available storage capacity for users and application data utilized across the City's agencies.,FY2023,Source,0,0,700000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-068,117-068_2023,Increase Storage and Back-up Storage Capacity,Baltimore City,We are currently at risk of depleting the available storage (10% available) in our current infrastructure. This project will increase the amount of available storage capacity for users and application data utilized across the City's agencies.,FY2023,Source,0,0,0,700000,700000,700000,700000,700000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-068,117-068_2023,Increase Storage and Back-up Storage Capacity,Baltimore City,We are currently at risk of depleting the available storage (10% available) in our current infrastructure. This project will increase the amount of available storage capacity for users and application data utilized across the City's agencies.,FY2023,Total,0,0,700000,700000,700000,700000,700000,700000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-069,117-069_2023,Upgrade Virtual Desktop Infrastructure for Growth,Baltimore City,"The City's Virtual Desktop Infrastructure which allows employees working remotely to access the City's network, currently accommodates 2,000 users. The City has exceeded the 2,000 limit multiple times in 2021 & need to increase capacity.",FY2023,Source,0,0,500000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-069,117-069_2023,Upgrade Virtual Desktop Infrastructure for Growth,Baltimore City,"The City's Virtual Desktop Infrastructure which allows employees working remotely to access the City's network, currently accommodates 2,000 users. The City has exceeded the 2,000 limit multiple times in 2021 & need to increase capacity.",FY2023,Source,0,0,0,500000,500000,500000,500000,500000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-069,117-069_2023,Upgrade Virtual Desktop Infrastructure for Growth,Baltimore City,"The City's Virtual Desktop Infrastructure which allows employees working remotely to access the City's network, currently accommodates 2,000 users. The City has exceeded the 2,000 limit multiple times in 2021 & need to increase capacity.",FY2023,Total,0,0,500000,500000,500000,500000,500000,500000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-070,117-070_2023,CitiWatch Private Camera Cloud Solution,Baltimore City,"Purchase a cloud-based system that will house the City's current CitiWatch private camera database increasing the reliability of the system, preventing data loss & eliminating support for the on-premise hardware and software of the current database.",FY2023,Source,0,0,50000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-070,117-070_2023,CitiWatch Private Camera Cloud Solution,Baltimore City,"Purchase a cloud-based system that will house the City's current CitiWatch private camera database increasing the reliability of the system, preventing data loss & eliminating support for the on-premise hardware and software of the current database.",FY2023,Source,0,0,0,50000,50000,50000,50000,50000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-070,117-070_2023,CitiWatch Private Camera Cloud Solution,Baltimore City,"Purchase a cloud-based system that will house the City's current CitiWatch private camera database increasing the reliability of the system, preventing data loss & eliminating support for the on-premise hardware and software of the current database.",FY2023,Total,0,0,50000,50000,50000,50000,50000,50000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-071,117-071_2023,Upgrade Public Safety Technology System Infrastructure,Baltimore City,"This funding will cover hardware, software and/or consultant services for currently unforeseen circumstances encountered such as for the unanticipated failure of public safety technology assets, unexpected integrations, and legislative mandates.",FY2023,Source,0,0,50000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2023,117-071,117-071_2023,Upgrade Public Safety Technology System Infrastructure,Baltimore City,"This funding will cover hardware, software and/or consultant services for currently unforeseen circumstances encountered such as for the unanticipated failure of public safety technology assets, unexpected integrations, and legislative mandates.",FY2023,Source,0,0,0,50000,50000,50000,50000,50000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2023,117-071,117-071_2023,Upgrade Public Safety Technology System Infrastructure,Baltimore City,"This funding will cover hardware, software and/or consultant services for currently unforeseen circumstances encountered such as for the unanticipated failure of public safety technology assets, unexpected integrations, and legislative mandates.",FY2023,Total,0,0,50000,50000,50000,50000,50000,50000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2023,117-072,117-072_2023,CitiWatch Replacement Camera Cycle (on cycle),Baltimore City,This project will establish a 7 year routine replacement schedule for the CitiWatch network of cameras used by the Baltimore Police Department. Through this funding 220 cameras out of the City’s 660 cameras will be replaced.,FY2023,Source,0,0,818000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2023,117-072,117-072_2023,CitiWatch Replacement Camera Cycle (on cycle),Baltimore City,This project will establish a 7 year routine replacement schedule for the CitiWatch network of cameras used by the Baltimore Police Department. Through this funding 220 cameras out of the City’s 660 cameras will be replaced.,FY2023,Source,0,0,0,818000,818000,818000,818000,818000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2023,117-072,117-072_2023,CitiWatch Replacement Camera Cycle (on cycle),Baltimore City,This project will establish a 7 year routine replacement schedule for the CitiWatch network of cameras used by the Baltimore Police Department. Through this funding 220 cameras out of the City’s 660 cameras will be replaced.,FY2023,Total,0,0,818000,818000,818000,818000,818000,818000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2023,117-073,117-073_2023,Upgrade CAD Platform,Baltimore City,"Hire a subject matter expert to design the specifications and request for proposals for a full replacement of the City's Computer-aided dispatch (CAD) platform used to dispatch 911 calls for fire, police and emergency medical services.",FY2023,Source,0,0,250000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-073,117-073_2023,Upgrade CAD Platform,Baltimore City,"Hire a subject matter expert to design the specifications and request for proposals for a full replacement of the City's Computer-aided dispatch (CAD) platform used to dispatch 911 calls for fire, police and emergency medical services.",FY2023,Source,0,0,0,250000,250000,250000,250000,250000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-073,117-073_2023,Upgrade CAD Platform,Baltimore City,"Hire a subject matter expert to design the specifications and request for proposals for a full replacement of the City's Computer-aided dispatch (CAD) platform used to dispatch 911 calls for fire, police and emergency medical services.",FY2023,Total,0,0,250000,250000,250000,250000,250000,250000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-074,117-074_2023,Upgrade 311 Customer Facing Tools,Baltimore City,"Upgrade Salesforce to improve the City's analytical capabilities, implement framework for customer's interaction and allow more portals for customers to communicate with the city and 311 utilizing upgraded technology.",FY2023,Source,0,0,450000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-074,117-074_2023,Upgrade 311 Customer Facing Tools,Baltimore City,"Upgrade Salesforce to improve the City's analytical capabilities, implement framework for customer's interaction and allow more portals for customers to communicate with the city and 311 utilizing upgraded technology.",FY2023,Source,0,0,0,450000,450000,450000,450000,450000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-074,117-074_2023,Upgrade 311 Customer Facing Tools,Baltimore City,"Upgrade Salesforce to improve the City's analytical capabilities, implement framework for customer's interaction and allow more portals for customers to communicate with the city and 311 utilizing upgraded technology.",FY2023,Total,0,0,450000,450000,450000,450000,450000,450000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-075,117-075_2023,Upgrade 311 Call Center Hardware,Baltimore City,"Fund approximately 35 laptops and headsets to meet the specific needs of the 311 team eliminating the equipment disparities that have resulted in technology, training and dissemination of information challenges.",FY2023,Source,0,0,50000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,NA,NA,0
2023,117-075,117-075_2023,Upgrade 311 Call Center Hardware,Baltimore City,"Fund approximately 35 laptops and headsets to meet the specific needs of the 311 team eliminating the equipment disparities that have resulted in technology, training and dissemination of information challenges.",FY2023,Total,0,0,50000,0,0,0,0,0,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,NA,NA,0
2023,117-076,117-076_2023,Consolidate and Intergrate Construction Mgmt Tools to Unifer,Baltimore City,Implement a cloud-based enterprise-level instance of Oracle Unifier as the standard Project Controls tool across public works agencies. Currently there are 3 systems used for this making consolidated reporting and risk management impossible.,FY2023,Source,0,0,166000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-076,117-076_2023,Consolidate and Intergrate Construction Mgmt Tools to Unifer,Baltimore City,Implement a cloud-based enterprise-level instance of Oracle Unifier as the standard Project Controls tool across public works agencies. Currently there are 3 systems used for this making consolidated reporting and risk management impossible.,FY2023,Source,0,0,0,166000,166000,166000,166000,166000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-076,117-076_2023,Consolidate and Intergrate Construction Mgmt Tools to Unifer,Baltimore City,Implement a cloud-based enterprise-level instance of Oracle Unifier as the standard Project Controls tool across public works agencies. Currently there are 3 systems used for this making consolidated reporting and risk management impossible.,FY2023,Total,0,0,166000,166000,166000,166000,166000,166000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-077,117-077_2023,Enterprise & Agency App Rationalization,Baltimore City,"This project will develop a comprehensive study of the applications used by City of Baltimore agencies to determine application consolidation opportunities, which are expected to improve application performance and save money across the city.",FY2023,Source,0,0,500000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-077,117-077_2023,Enterprise & Agency App Rationalization,Baltimore City,"This project will develop a comprehensive study of the applications used by City of Baltimore agencies to determine application consolidation opportunities, which are expected to improve application performance and save money across the city.",FY2023,Source,0,0,0,500000,500000,500000,500000,500000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-077,117-077_2023,Enterprise & Agency App Rationalization,Baltimore City,"This project will develop a comprehensive study of the applications used by City of Baltimore agencies to determine application consolidation opportunities, which are expected to improve application performance and save money across the city.",FY2023,Total,0,0,500000,500000,500000,500000,500000,500000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-078,117-078_2023,Upgrade and Enhance Workday Toolset and Processes,Baltimore City,"This project will continue the transformation of business processes around grants, timekeeping and overtime to fully realize the value of the Workday Enterprise Resource Planning system.",FY2023,Source,0,0,500000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-078,117-078_2023,Upgrade and Enhance Workday Toolset and Processes,Baltimore City,"This project will continue the transformation of business processes around grants, timekeeping and overtime to fully realize the value of the Workday Enterprise Resource Planning system.",FY2023,Source,0,0,0,500000,500000,500000,500000,500000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-078,117-078_2023,Upgrade and Enhance Workday Toolset and Processes,Baltimore City,"This project will continue the transformation of business processes around grants, timekeeping and overtime to fully realize the value of the Workday Enterprise Resource Planning system.",FY2023,Total,0,0,500000,500000,500000,500000,500000,500000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2023,,1,1,2023,2023,1
2023,117-079,117-079_2023,Infrastructure Platforms End-of-Life (EOL) Refresh/Upgrades,Baltimore City,"All infrastructure platforms have a 3 to 5-year lifespan. As we continue to assess the current platforms, we identify risks that require the assets to be upgraded, replaced or mitigated, to ensure availability & security of the City’s IT resources.",FY2023,Source,0,0,50000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2023,117-079,117-079_2023,Infrastructure Platforms End-of-Life (EOL) Refresh/Upgrades,Baltimore City,"All infrastructure platforms have a 3 to 5-year lifespan. As we continue to assess the current platforms, we identify risks that require the assets to be upgraded, replaced or mitigated, to ensure availability & security of the City’s IT resources.",FY2023,Source,0,0,0,50000,50000,50000,50000,50000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2023,117-079,117-079_2023,Infrastructure Platforms End-of-Life (EOL) Refresh/Upgrades,Baltimore City,"All infrastructure platforms have a 3 to 5-year lifespan. As we continue to assess the current platforms, we identify risks that require the assets to be upgraded, replaced or mitigated, to ensure availability & security of the City’s IT resources.",FY2023,Total,0,0,50000,50000,50000,50000,50000,50000,NA,NA,NA,117,Baltimore City Office of Infor,NA,FALSE,FALSE,2023,2024,,2,2,2023,2024,2
2022,117-029,117-029_2022,Citywide Cyber-Security Systems Upgrades,Baltimore City - waiver attached,"Implementation of software to protect against unauthorized network access; detect and identify inside network threats; and protect sensitive data, intellectual property, and physical assets.",FY2022,Source,0,0,450000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2019,2023,,5,5,2019,2023,5
2022,117-029,117-029_2022,Citywide Cyber-Security Systems Upgrades,Baltimore City - waiver attached,"Implementation of software to protect against unauthorized network access; detect and identify inside network threats; and protect sensitive data, intellectual property, and physical assets.",FY2022,Source,0,2000000,0,400000,400000,400000,400000,2400000,200   General Funds,200,General Funds,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2019,2023,,5,5,2019,2023,5
2022,117-029,117-029_2022,Citywide Cyber-Security Systems Upgrades,Baltimore City - waiver attached,"Implementation of software to protect against unauthorized network access; detect and identify inside network threats; and protect sensitive data, intellectual property, and physical assets.",FY2022,Total,0,2000000,450000,400000,400000,400000,400000,2400000,NA,NA,NA,117,Baltimore City Office of Infor,NA,TRUE,TRUE,2019,2023,,5,5,2019,2023,5
2022,117-041,117-041_2022,Citywide Agencies Network Cabling and Wiring Upgrade,Baltimore City - waiver attached,Replace and upgrade citywide agencies' network cabling and wiring.,FY2022,Source,0,0,850000,0,0,0,0,0,100   General Obligation Bonds,100,General Obligation Bonds,117,Baltimore City Office of Infor,NA,FALSE,TRUE,2020,2022,,3,3,2020,2022,3
