fiscal_year,cip_number,cip_year_id,filename,project_title,location,project_desc,amt_type,operating_impact_amt,appropriated_amt,agency_amt,planning_amt,bof_amt,boe_amt,bureau_program,bureau_name,contract_number
2023,117-068,117-068_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Increase Storage and Back-up Storage Capacity,Baltimore City,We are currently at risk of depleting the available storage (10% available) in our current infrastructure. This project will increase the amount of available storage capacity for users and application data utilized across the City's agencies.,Total,0,0,700000,700000,700000,700000,117,Baltimore City Office of Infor,NA
2023,117-069,117-069_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade Virtual Desktop Infrastructure for Growth,Baltimore City,"The City's Virtual Desktop Infrastructure which allows employees working remotely to access the City's network, currently accommodates 2,000 users. The City has exceeded the 2,000 limit multiple times in 2021 & need to increase capacity.",Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2023,117-070,117-070_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,CitiWatch Private Camera Cloud Solution,Baltimore City,"Purchase a cloud-based system that will house the City's current CitiWatch private camera database increasing the reliability of the system, preventing data loss & eliminating support for the on-premise hardware and software of the current database.",Total,0,0,50000,50000,50000,50000,117,Baltimore City Office of Infor,NA
2023,117-071,117-071_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade Public Safety Technology System Infrastructure,Baltimore City,"This funding will cover hardware, software and/or consultant services for currently unforeseen circumstances encountered such as for the unanticipated failure of public safety technology assets, unexpected integrations, and legislative mandates.",Total,0,0,50000,50000,50000,50000,117,Baltimore City Office of Infor,NA
2023,117-072,117-072_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,CitiWatch Replacement Camera Cycle (on cycle),Baltimore City,This project will establish a 7 year routine replacement schedule for the CitiWatch network of cameras used by the Baltimore Police Department. Through this funding 220 cameras out of the City’s 660 cameras will be replaced.,Total,0,0,818000,818000,818000,818000,117,Baltimore City Office of Infor,NA
2023,117-073,117-073_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade CAD Platform,Baltimore City,"Hire a subject matter expert to design the specifications and request for proposals for a full replacement of the City's Computer-aided dispatch (CAD) platform used to dispatch 911 calls for fire, police and emergency medical services.",Total,0,0,250000,250000,250000,250000,117,Baltimore City Office of Infor,NA
2023,117-074,117-074_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade 311 Customer Facing Tools,Baltimore City,"Upgrade Salesforce to improve the City's analytical capabilities, implement framework for customer's interaction and allow more portals for customers to communicate with the city and 311 utilizing upgraded technology.",Total,0,0,450000,450000,450000,450000,117,Baltimore City Office of Infor,NA
2023,117-075,117-075_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade 311 Call Center Hardware,Baltimore City,"Fund approximately 35 laptops and headsets to meet the specific needs of the 311 team eliminating the equipment disparities that have resulted in technology, training and dissemination of information challenges.",Total,0,0,50000,0,0,0,117,Baltimore City Office of Infor,NA
2023,117-076,117-076_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Consolidate and Intergrate Construction Mgmt Tools to Unifer,Baltimore City,Implement a cloud-based enterprise-level instance of Oracle Unifier as the standard Project Controls tool across public works agencies. Currently there are 3 systems used for this making consolidated reporting and risk management impossible.,Total,0,0,166000,166000,166000,166000,117,Baltimore City Office of Infor,NA
2023,117-077,117-077_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Enterprise & Agency App Rationalization,Baltimore City,"This project will develop a comprehensive study of the applications used by City of Baltimore agencies to determine application consolidation opportunities, which are expected to improve application performance and save money across the city.",Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2023,117-078,117-078_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Upgrade and Enhance Workday Toolset and Processes,Baltimore City,"This project will continue the transformation of business processes around grants, timekeeping and overtime to fully realize the value of the Workday Enterprise Resource Planning system.",Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2023,117-079,117-079_2023,FY23-28 Capital Budget - OOE 7.5.22.xls,Infrastructure Platforms End-of-Life (EOL) Refresh/Upgrades,Baltimore City,"All infrastructure platforms have a 3 to 5-year lifespan. As we continue to assess the current platforms, we identify risks that require the assets to be upgraded, replaced or mitigated, to ensure availability & security of the City’s IT resources.",Total,0,0,50000,50000,50000,50000,117,Baltimore City Office of Infor,NA
2022,117-029,117-029_2022,FY22 Capital Budget.xls,Citywide Cyber-Security Systems Upgrades,Baltimore City - waiver attached,"Implementation of software to protect against unauthorized network access; detect and identify inside network threats; and protect sensitive data, intellectual property, and physical assets.",Total,0,2000000,450000,400000,400000,400000,117,Baltimore City Office of Infor,NA
2022,117-041,117-041_2022,FY22 Capital Budget.xls,Citywide Agencies Network Cabling and Wiring Upgrade,Baltimore City - waiver attached,Replace and upgrade citywide agencies' network cabling and wiring.,Total,0,1950000,850000,650000,650000,650000,117,Baltimore City Office of Infor,NA
2022,117-046,117-046_2022,FY22 Capital Budget.xls,Citywide Data Center Fiber Divergence,Baltimore City - waiver attached,Build offsite secondary backup capabilities for critical systems,Total,0,1000000,1675000,1475000,1475000,1475000,117,Baltimore City Office of Infor,NA
2022,117-048,117-048_2022,FY22 Capital Budget.xls,"Replace Unmanaged Network Hubs, Cables and Switches",Baltimore City - waiver attached,"Removal and replacement of unmanaged network hubs, cables and switches.",Total,0,2350000,650000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2022,117-054,117-054_2022,FY22 Capital Budget.xls,Remediation of End of Life Systems,Baltimore City - waiver attached,Remediate End-of-Support Systems (EOS for Windows Servers),Total,0,2750000,400000,400000,400000,400000,117,Baltimore City Office of Infor,NA
2022,117-055,117-055_2022,FY22 Capital Budget.xls,T1 Migration to Ethernet,Baltimore City - waiver attached,"Migrate existing T1 connection circuits to City owned fiber circuits for better and more cost effective radio service and coverage for 911 communications, police and fire emergency dispatch services.",Total,0,0,475000,450000,450000,450000,117,Baltimore City Office of Infor,NA
2022,117-057,117-057_2022,FY22 Capital Budget.xls,Replace End-of-Support (EOS) Network Phase 2,Baltimore City - waiver attached,Replace end-of-support (EOS) Network Equipment Phase 2.,Total,0,0,400000,375000,375000,375000,117,Baltimore City Office of Infor,NA
2022,117-058,117-058_2022,FY22 Capital Budget.xls,Broadband Connectivity for Public Housing Development,Select properties owned by the Housing Authority of Baltimore City (see attached),BCIT will establish the initial infrastructure necessary to deploy city fiber at public housing sites for the provision of free internet to HABC residents.,Total,0,0,1000000,1000000,1000000,1000000,117,Baltimore City Office of Infor,NA
2022,117-059,117-059_2022,FY22 Capital Budget.xls,Application Integration Upgrade,Baltimore City - waiver attached,"Upgrade and improve the accuracy, completeness and security of data passing to and from applications like Salesforce, CHIP, and CityWorks, WorkDay, and other applications.",Total,0,0,500000,400000,400000,400000,117,Baltimore City Office of Infor,NA
2022,117-060,117-060_2022,FY22 Capital Budget.xls,Upgrade Baltimore City's Resident Web Access,Baltimore City - waiver attached,Upgrade Baltimore City resident-facing web assets in order to improve the user experience of citizens who interact with the city electronically.,Total,0,0,700000,675000,675000,675000,117,Baltimore City Office of Infor,NA
2022,117-061,117-061_2022,FY22 Capital Budget.xls,Upgrade Mainframe Components to Modern and Flexible Computing Platforms,Baltimore City - waiver attached,"Upgrade and replace functional components of the Mainframe (i.e. Payments, Lien, tax etc.) to a more flexible platforms.",Total,0,0,500000,300000,300000,300000,117,Baltimore City Office of Infor,NA
2022,117-062,117-062_2022,FY22 Capital Budget.xls,Upgrade Network Management Software,Baltimore City - waiver attached,Purchase and install OpenGear OOB Network (non-core network equip) management software,Total,0,0,400000,375000,375000,375000,117,Baltimore City Office of Infor,NA
2021,117-019,117-019_2021,FY21 Capital Budget.xls,City Wide Agencies Switches Upgrade,Baltimore City,"Refresh network switches no longer vendor supported.  Switches provide end user access to Citi-Watch, e-mail and all other internet services and applications.",Total,0,650000,600000,600000,600000,600000,117,Baltimore City Office of Infor,NA
2021,117-026,117-026_2021,FY21 Capital Budget.xls,City Wide Agencies Uninterrupted Power (UPS)Supply Upgrade,Baltimore City,"Install APC uninterruptible power systems(UPS) to prevent and protect the City's email, internet, City financials and telephone systems from electrical power outages. These services are critical for public safety and revenue generation.",Total,0,500000,500000,500000,500000,250000,117,Baltimore City Office of Infor,NA
2021,117-029,117-029_2021,FY21 Capital Budget.xls,Citywide Cyber-Security Systems Upgrades,Baltimore City,"Increase and enhance Cyber-Security technologies on workstations, laptops, tablets, etc. to protect the City from on-going Cyber security threats.  This includes providing and maintaining proactive forensic for all computing assets.",Total,0,1000000,1000000,1000000,1000000,900000,117,Baltimore City Office of Infor,NA
2021,117-030,117-030_2021,FY21 Capital Budget.xls,BCIT Data Center Internet Upgrade,Baltimore City,Enhance the ISP and Core network capabilities to increase internet  bandwidth across the City. Ensure City's infrastructure users are able to perform network and internet based transactions efficiently without degradation,Total,0,300000,350000,350000,350000,350000,117,Baltimore City Office of Infor,NA
2021,117-039,117-039_2021,FY21 Capital Budget.xls,BCIT Data Warehouse Project,Baltimore City,"Upgrade the City data warehouse to the cloud and manage siloed data,improving data quality and making it accessible in one place, for city residents and employees.",Total,0,300000,300000,300000,300000,150000,117,Baltimore City Office of Infor,NA
2021,117-041,117-041_2021,FY21 Capital Budget.xls,City Wide Agencies Network Cabling and Wiring Upgrade,Baltimore City,"BCIT will modernize fiber and copper cable in various locations to accommodate new technologies, increased network capacity and throughput requirements.",Total,0,300000,1650000,1650000,1650000,750000,117,Baltimore City Office of Infor,NA
2021,117-046,117-046_2021,FY21 Capital Budget.xls,City Wide Data Center Fiber Divergence,Baltimore City,Implement redundant network connectivity to the City's data centers.,Total,0,250000,750000,750000,750000,600000,117,Baltimore City Office of Infor,NA
2021,117-048,117-048_2021,FY21 Capital Budget.xls,"Removal and Migration from Unmanaged Network Hubs, Cable, Switches",Citywide,Replace select unmanaged network devices across the City that are currently in production.  This will provide increased security and management capabilities.,Total,0,0,1000000,1000000,1000000,1000000,117,Baltimore City Office of Infor,NA
2021,117-049,117-049_2021,FY21 Capital Budget.xls,Replace Wireless Controller and Access Points,Citywide,Replace existing wireless network components to improve wireless security and performance.,Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2021,117-050,117-050_2021,FY21 Capital Budget.xls,Adaptive Security Appliance(ASA) Firewall Upgrade,Citywide,Replace security hardware to improve security and performance for remote user access to City applications.,Total,0,0,350000,350000,350000,350000,117,Baltimore City Office of Infor,NA
2021,117-051,117-051_2021,FY21 Capital Budget.xls,Enhance Identity Management,City Wide,Implement new tool that centralizes user access to applications  to meet security requirements.,Total,0,0,300000,300000,300000,150000,117,Baltimore City Office of Infor,NA
2021,117-052,117-052_2021,FY21 Capital Budget.xls,Security Information and Event Management,Citywide,Implement a City owned Security Information and Event Management (SIEM) system.  The SIEM will provide vulnerability and risk assessments that alert for potential cyber events.,Total,0,0,700000,700000,700000,700000,117,Baltimore City Office of Infor,NA
2021,117-054,117-054_2021,FY21 Capital Budget.xls,Remediation of End of Life Systems,City Wide,"This project will replace end-of-support systems in order to mitigate operational, security, and cost risks as these servers are no longer supported by the vendors.",Total,0,0,2000000,2000000,2000000,2000000,117,Baltimore City Office of Infor,NA
2020,117-016,117-016_2020,FY20 Capital Budget Report.xls,BCIT IT Command Center Setup,401 E Fayette St,Upgrade BCIT's IT command Center technology to monitor the City's critical  infrastructure systems through proactive real-time approach.,Total,0,0,300000,0,0,0,117,Baltimore City Office of Infor,NA
2020,117-019,117-019_2020,FY20 Capital Budget Report.xls,City Wide Agencies Switches Upgrade,Baltimore City,"Upgrade legacy City-wide switches supporting Citi-Watch services, e-mail and internet services. Replace data switches with voice switches for the City telephone improvement project in conjunction with Municipal Telephone Exchange.",Total,0,0,650000,650000,650000,650000,117,Baltimore City Office of Infor,NA
2020,117-020,117-020_2020,FY20 Capital Budget Report.xls,BCIT Virtual Desktop Installation,Baltimore City,This service will standardize computers across city agencies using VDI technology to streamline administrative management and access of computer systems,Total,0,0,250000,250000,250000,250000,117,Baltimore City Office of Infor,NA
2020,117-025,117-025_2020,FY20 Capital Budget Report.xls,BCIT Storage Hardware Upgrade,Baltimore City,"Scale the storage assets to support critical business applications, systems and services such as the water billing system, property tax and e-mail",Total,0,0,200000,200000,200000,200000,117,Baltimore City Office of Infor,NA
2020,117-026,117-026_2020,FY20 Capital Budget Report.xls,City Wide Agencies Uninterrupted Power Supply Upgrade,Baltimore City,"Install battery power to protect the City's email, internet, City financials and telephone systems from electrical power outages. The services are critical for public safety and revenue generation.",Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2020,117-028,117-028_2020,FY20 Capital Budget Report.xls,BCIT Virtual Private Network Upgrade,Baltimore City,"Upgrade the virtual private network required to connect remote City agencies to the City data centers for E-mail, internet and telephone services. Reduces the costs required to install fiber.",Total,0,0,100000,100000,100000,100000,117,Baltimore City Office of Infor,NA
2020,117-029,117-029_2020,FY20 Capital Budget Report.xls,City Wide Cyber-Security Systems Upgrades,Baltimore City,"Upgrade Cyber-Security technologies such as the firewall to support increasing network workloads and protect email, internet, permits and billing City applications from on-going cyber security threats.",Total,0,0,1000000,1000000,1000000,1000000,117,Baltimore City Office of Infor,NA
2020,117-030,117-030_2020,FY20 Capital Budget Report.xls,BCIT Data Center Internet Upgrade,Baltimore City,"Upgrade the city broadband internet to support city business applications such as city-buy procurement, ADP payroll, and property-tax systems that are transacted via the internet.",Total,0,0,300000,300000,300000,300000,117,Baltimore City Office of Infor,NA
2020,117-031,117-031_2020,FY20 Capital Budget Report.xls,BCIT Network Ports Upgrades,Baltimore City,"Optimize network performance to support increased data and application work-loads for e-mail, City-Watch, Citi-Stat, E-discovery, and telephone services.",Total,0,0,450000,450000,450000,450000,117,Baltimore City Office of Infor,NA
2020,117-032,117-032_2020,FY20 Capital Budget Report.xls,BCIT Fiber Project,Baltimore City,"Extend and expand the City fiber assets, to allow for better use by City agencies and private organizations interested in investing or partnering with the city have a way to lease fiber from the city for economic development and public safety initiatives.",Total,0,0,200000,200000,200000,200000,117,Baltimore City Office of Infor,NA
2020,117-038,117-038_2020,FY20 Capital Budget Report.xls,BCIT E-Mail Upgrade,Baltimore City,Upgrade legacy city e-mail.,Total,0,0,1000000,1000000,1000000,1000000,117,Baltimore City Office of Infor,NA
2020,117-039,117-039_2020,FY20 Capital Budget Report.xls,BCIT Data Warehouse Project,Baltimore City,Upgrade the city data warehouse to the cloud.,Total,0,0,300000,300000,300000,300000,117,Baltimore City Office of Infor,NA
2020,117-040,117-040_2020,FY20 Capital Budget Report.xls,BCIT Disaster Recovery Implementation,Baltimore City,"Implement redundant data center to protect current workloads from cyber-threats, data theft, fire, breach, damage or acts of God.",Total,0,0,1500000,1500000,1500000,1500000,117,Baltimore City Office of Infor,NA
2020,117-041,117-041_2020,FY20 Capital Budget Report.xls,City Wide Agencies Network Cabling and Wiring Upgrade,Baltimore City,Phased approach to start replacing legacy cabling and wiring across city agencies,Total,0,0,300000,300000,300000,300000,117,Baltimore City Office of Infor,NA
2020,117-042,117-042_2020,FY20 Capital Budget Report.xls,BCIT Cloud Hybrid Upgrade,Baltimore City,"To facilitate the implementation of the City's first ever digital transformation strategy, deploy a city hybrid cloud platform Infrastructure to extend cloud systems to the city via a private and secure network.",Total,0,0,2700000,2700000,2700000,2700000,117,Baltimore City Office of Infor,NA
2020,117-046,117-046_2020,FY20 Capital Budget Report.xls,City Wide Data Center Fiber Divergence,Baltimore City,Create fiber path diversity between data centers to create fiber data and voice resiliency for city agencies connected to the Abel Wolman Data Center only.,Total,0,0,250000,250000,250000,250000,117,Baltimore City Office of Infor,NA
2020,117-084,117-084_2020,FY20 Capital Budget Report.xls,Enterprise Resource Planning Program,Citywide,Implement initial phases of citywide enterprise resource planning program.,Total,0,0,0,6000000,6000000,6000000,117,Baltimore City Office of Infor,NA
2019,117-019,117-019_2019,FY19 Capital Budget Report.xls,Replace City Wide Switches,Baltimore City,"Replace legacy City-wide switches supporting Citi-Watch services, e-mail and internet services. Replace data switches with voice switches for the City telephone improvement project in conjunction with Municipal Telephone Exchange.",Total,208000,0,200000,200000,200000,200000,117,Baltimore City Office of Infor,NA
2019,117-020,117-020_2019,FY19 Capital Budget Report.xls,Implement Virtual Desktop Infrastructure,Baltimore City,"Standardize user desktop experience to a single pane of glass to publish data and applications, streamline desktop security and facilitate simple PC administration.",Total,208000,0,100000,100000,100000,100000,117,Baltimore City Office of Infor,NA
2019,117-025,117-025_2019,FY19 Capital Budget Report.xls,Upgrade Storage Hardware,Baltimore City,"Expand storage hardware to support City critical business applications, systems and services.",Total,0,0,2000000,2000000,2000000,2000000,117,Baltimore City Office of Infor,NA
2019,117-026,117-026_2019,FY19 Capital Budget Report.xls,Install Uninterrupted Power Supply,Baltimore City,"Install battery power to prevent and protect the City's email, internet, City financials and telephone systems from electrical power outages. The services are critical for public safety and revenue generation.",Total,208000,0,200000,200000,200000,200000,117,Baltimore City Office of Infor,NA
2019,117-027,117-027_2019,FY19 Capital Budget Report.xls,Implement a Network Operations Center,Baltimore City,"Implement a network operations center to proactively monitor email, internet, switches and cyber-threats to foster a proactive approach to solving technology related issues.",Total,500000,0,100000,0,0,0,117,Baltimore City Office of Infor,NA
2019,117-028,117-028_2019,FY19 Capital Budget Report.xls,Upgrade the Dynamic Multi Point Virtual Private Network,Baltimore City,"Upgrade the virtual private network required to connect remote City agencies to the City data centers for E-mail, internet and telephone services. Reduces the costs required to install fiber.",Total,0,0,200000,200000,200000,200000,117,Baltimore City Office of Infor,NA
2019,117-029,117-029_2019,FY19 Capital Budget Report.xls,Upgrade City Firewall,Baltimore City,"Upgrade the firewall to support increasing network workloads and protect email, internet, permits and billing City applications from on-going cyber security threats.",Total,0,0,350000,350000,350000,350000,117,Baltimore City Office of Infor,NA
2019,117-030,117-030_2019,FY19 Capital Budget Report.xls,Upgrade Broadband Internet,Baltimore City,"Upgrade City broadband internet to optimize access performance and efficiency to City applications in purchasing, SharePoint, financials, and payment systems.",Total,0,0,200000,200000,200000,200000,117,Baltimore City Office of Infor,NA
2019,117-031,117-031_2019,FY19 Capital Budget Report.xls,Upgrade City Infrastructure Network Card Ports,Baltimore City,"Optimize network performance to support increased data and application work-loads for e-mail, City-Watch, Citi-Stat, E-discovery, and telephone services.",Total,0,0,150000,150000,150000,150000,117,Baltimore City Office of Infor,NA
2019,117-033,117-033_2019,FY19 Capital Budget Report.xls,Enable Government Cloud Capabilities,Baltimore City,"Consolidate, standardize and modernize the City IT infrastructure through Government hybrid cloud technologies to improve service level agreements and continuity of business operations.",Total,500000,0,200000,200000,200000,200000,117,Baltimore City Office of Infor,NA
2019,117-036,117-036_2019,FY19 Capital Budget Report.xls,Update Planimetric Data,Baltimore City,"Upgrade a 16 year old planimetric data system used by the City for building footprints, edge of pavement (sidewalk), streets, contours (elevation), trails, railroads, and vegetation. The project will help agencies with accurate data and reporting.",Total,0,0,350000,350000,350000,350000,117,Baltimore City Office of Infor,NA
2018,117-013,117-013_2018,FY18 Capital Budget.xls,Backup and Recovery System,401 E Fayette St.,Disaster recovery and business continuity for critical city government technology enterprise architecture.,Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2018,117-017,117-017_2018,FY18 Capital Budget.xls,Cyber-Security Advanced Threat Prevention,401 E Fayette Street,Implement City Wide Cyber Security Policy and Auditing tools in order to be in compliance with “The Governmental Procedures – Security and Protection of Information Act of 2013” for Maryland.,Total,0,0,500000,500000,500000,500000,117,Baltimore City Office of Infor,NA
2018,117-018,117-018_2018,FY18 Capital Budget.xls,Civic Community Outreach Technology Program,401 E Fayette Street,Extend technology outreach to the community and the residents of the city of Baltimore.,Total,0,0,500000,0,0,0,117,Baltimore City Office of Infor,NA
2018,117-024,117-024_2018,FY18 Capital Budget.xls,Application Modernization - Web,401 E. Fayette St.,"A new enterprise Service Oriented Architecture (SOA) will be defined as part of overhaul effort for the web application development strategy, in order to build, deploy and integrate services in a flexible and rapid manner.",Total,0,0,1350000,0,0,0,117,Baltimore City Office of Infor,NA
2017,117-008,117-008_2017,FY17 Capital Budget.xls,311 Citizen Service Request Project,401 E. Fayette St. 3rd Floor,"Replace the City's 311 Citizen Service Request system to provide next generation social media, customer analytics, data management and self-service capabilities.  The current system is experiencing severe performance issues.",Total,0,0,1750000,1750000,1750000,1750000,117,Baltimore City Office of Infor,NA
2017,117-012,117-012_2017,FY17 Capital Budget.xls,South Baltimore Gateway Digital Infrastructure,South Baltimore Gateway Plan Area,"Expand City conduit and broadband fiber network to libraries, schools, businesses, and households within the Casino Impact Area.",Total,0,0,0,500000,500000,500000,117,Baltimore City Office of Infor,NA
2016,117-006,117-006_2016,FY16 Capital Budget.xls,Digital Logging Recorder,401 E Fayette Street,Upgrade the digital logging recorder used by police and fire dispatch centers and 911 call-intake to archive telephone conversations and radio transmissions.,Total,0,0,1000000,750000,750000,750000,117,Baltimore City Office of Infor,NA
2016,117-007,117-007_2016,FY16 Capital Budget.xls,Upgrade City's Website,NA,Upgrade the City's website.,Total,0,0,0,0,0,800000,117,Baltimore City Office of Infor,NA
2014,117-002,117-002_2014,FY14 Capital Budget_0.xls,Replace Mainframe,401 E. Fayette Street,"Replace mainframe. It hosts 44 legacy applications and is used to collect ~$1.6 billion/year. It fails frequently and is in imminent danger of permanent failure, which would cause catastrophic loss of data and the inability to process bills.",Total,0,0,1000000,5000000,5000000,5000000,117,Baltimore City Office of Infor,NA
2024,127-110,127-110_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Baltimore National Heritage Area Small Capital Grant Program,Baltimore National Heritage Area Boundary,Provide small capital grants for heritage tourism capital projects in order to make sites more visitor-ready and friendly.,Total,0,0,100000,100000,100000,100000,127,Mayoralty-Related,NA
2024,127-117,127-117_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Baltimore Symphony Orchestra Garage Assessment & Repairs,1311 Cathedral St.,Replace parking garage sprinkler system and study feasibility of other needed remediation efforts.,Total,0,0,50000,50000,50000,50000,127,Mayoralty-Related,NA
2024,127-118,127-118_2024,FY24-29 Capital Budget OOE 8.11.23.xls,American Visionary Art Museum Climate Control,800 Key Highway,Install climate controls for three air handling units in the main building.,Total,0,0,75000,75000,75000,75000,127,Mayoralty-Related,NA
2024,127-122,127-122_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Black Arts District Sanaa Center  Development,1925-1945 Pennsylvania Ave.,Create a new art center in the 1900 block of Pennsylvania Ave.,Total,0,0,200000,200000,200000,200000,127,Mayoralty-Related,NA
2024,127-123,127-123_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Fells Point Corner Theater HVAC Replacement,251 S. Ann St.,Replace upper level HVAC and heat pump.,Total,0,0,50000,50000,50000,50000,127,Mayoralty-Related,NA
2024,127-134,127-134_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Area 405 Rehabilitation,405-417 E. Oliver St.,Contribute to new exhibition space at Area 405.,Total,0,0,150000,150000,150000,150000,127,Mayoralty-Related,NA
2024,127-137,127-137_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Lumina Theater,2636 Wilkens Avenue,Convert existing buildings into theater and performing arts center.,Total,0,0,100000,100000,100000,100000,127,Mayoralty-Related,NA
2024,127-140,127-140_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Maryland Art Place Elevator Replacement,218 W. Saratoga St.,Replace elevator that has surpassed its useful life.,Total,0,0,150000,150000,150000,150000,127,Mayoralty-Related,NA
2024,127-141,127-141_2024,FY24-29 Capital Budget OOE 8.11.23.xls,Maryland Science Center HVAC Modernization,601 Light Street,"Replace air handler, upgrade control system, and install more efficient air chiller.",Total,0,0,100000,100000,100000,100000,127,Mayoralty-Related,NA
